name,og_p_value,bh_q_value
TAG54:5-FA20:4,1.0439459656731856e-7,6.785648776875706e-5
Dihydrofolic acid1,3.2365393082867455e-7,7.816594597563402e-5
TAG52:2-FA18:0,3.607659045029262e-7,7.816594597563402e-5
TAG54:3-FA18:2,1.1246126605911345e-6,1.8274955734605937e-4
TAG52:5-FA18:2,2.1928814055422794e-6,2.8507458272049633e-4
TAG52:4-FA16:1,7.086769319168858e-6,7.677333429099596e-4
TAG56:6-FA20:4,3.2386723162737e-5,0.0030073385793970074
TAG54:4-FA18:0,8.15092549397367e-5,0.006622626963853607
TAG54:6-FA20:4,9.715609396650456e-5,0.007016829008691996
TAG52:3-FA16:1,1.166450127638685e-4,0.007285291609016202
TAG56:7-FA22:6,1.2328955030642804e-4,0.007285291609016202
TAG52:4-FA18:3,1.9787038439260875e-4,0.010717979154599641
TAG50:3-FA16:1,2.1691100605397343e-4,0.01084555030269867
TAG52:2-FA18:2,2.43925151641307e-4,0.01132509632620354
CE(20:1),2.847076057472101e-4,0.011566246483480409
TAG50:2-FA14:0,2.7122794255642963e-4,0.011566246483480409
TAG48:1-FA14:0,5.43613802199124e-4,0.020785233613495917
TAG54:6-FA18:2,7.991303248623888e-4,0.028857483953364044
CE(22:4),0.0012976468906840584,0.04076015154639583
HCER(20:0),0.0013078023440771978,0.04076015154639583
TAG50:3-FA18:1,0.0013168664345758654,0.04076015154639583
TAG50:2-FA18:2,0.0013797049680453592,0.040764010419521976
4-Thio-UTP1,0.0018626833824162612,0.04380308742730698
Cystathionine3,0.0018626833738593735,0.04380308742730698
Cystine8,0.001862683822775914,0.04380308742730698
7-ketocholesterol1,0.0018626833738593735,0.04380308742730698
TAG53:3-FA17:0,0.0016196628713850958,0.04380308742730698
TAG54:5-FA18:3,0.0018869022276378391,0.04380308742730698
TAG54:6-FA18:1,0.001981462124031513,0.04441208209036151
TAG56:6-FA18:1,0.0023576049383190563,0.051081440330246225
TAG50:3-FA18:2,0.0025636572216566483,0.05375410303473618
LPC(18:0),0.0029117703983059925,0.056147565010020675
PE(P-18:0/18:2),0.002936949554370312,0.056147565010020675
TAG54:2-FA18:0,0.002799882504637458,0.056147565010020675
TAG50:2-FA16:0,0.003262219873479857,0.06058408336462592
LPC(16:0),0.004577076701567634,0.0826416626671934
TAG52:5-FA18:3,0.0056978569191516205,0.10009748641752847
DAG(20:0/20:0),0.006978475805988035,0.1193686651024269
PC(16:0/22:5),0.007457505913290602,0.12429176522151003
PE(P-16:0/18:2),0.009439813356365215,0.14965557760091194
TAG56:5-FA18:1,0.009297295795832126,0.14965557760091194
HCER(16:0),0.010608586219861113,0.1641805010216601
TAG50:2-FA16:1,0.010990545107577314,0.16613614697500592
